self-test: enumeration reproduces PV-21 and the involution counts 1,2,4,10,26,76,232,764
length 17: sweeping self-dual permutations ending in 1 (= I(16) of them) in 27940 work units on 12 workers
  [20/27940] checked 661,176  1,578/s  elapsed 7.0m
  [1940/27940] checked 9,454,528  4,597/s  elapsed 34.3m
  [1960/27940] checked 9,520,680  4,630/s  elapsed 34.3m
  [1980/27940] checked 9,586,832  4,643/s  elapsed 34.4m
  [2000/27940] checked 9,652,984  4,633/s  elapsed 34.7m
  [2020/27940] checked 9,719,136  4,637/s  elapsed 34.9m
  [2040/27940] checked 9,778,412  4,633/s  elapsed 35.2m
  [2060/27940] checked 9,946,400  4,542/s  elapsed 36.5m
  [2080/27940] checked 10,012,552  4,573/s  elapsed 36.5m
  [2100/27940] checked 10,078,704  4,603/s  elapsed 36.5m
  [2120/27940] checked 10,144,856  4,633/s  elapsed 36.5m
  [2140/27940] checked 10,204,132  4,645/s  elapsed 36.6m
  [2160/27940] checked 10,270,284  4,627/s  elapsed 37.0m
  [2180/27940] checked 10,336,436  4,623/s  elapsed 37.3m
  [2200/27940] checked 10,504,424  4,543/s  elapsed 38.5m
  [2220/27940] checked 10,570,576  4,572/s  elapsed 38.5m
  [2240/27940] checked 10,629,852  4,598/s  elapsed 38.5m
  [2260/27940] checked 10,696,004  4,626/s  elapsed 38.5m
  [2280/27940] checked 10,762,156  4,632/s  elapsed 38.7m
  [2300/27940] checked 10,828,308  4,646/s  elapsed 38.8m
  [2320/27940] checked 10,894,460  4,654/s  elapsed 39.0m
  [2340/27940] checked 10,953,736  4,657/s  elapsed 39.2m
  [2360/27940] checked 10,972,728  4,665/s  elapsed 39.2m
  [2380/27940] checked 10,991,720  4,673/s  elapsed 39.2m
  [2400/27940] checked 11,010,712  4,681/s  elapsed 39.2m
  [2420/27940] checked 11,029,704  4,685/s  elapsed 39.2m
  [2440/27940] checked 11,048,696  4,689/s  elapsed 39.3m
  [2460/27940] checked 11,091,268  4,671/s  elapsed 39.6m
  [2480/27940] checked 11,112,116  4,680/s  elapsed 39.6m
  [2500/27940] checked 11,131,108  4,688/s  elapsed 39.6m
  [2520/27940] checked 11,150,100  4,685/s  elapsed 39.7m
  [2540/27940] checked 11,169,092  4,693/s  elapsed 39.7m
  [2560/27940] checked 11,188,084  4,693/s  elapsed 39.7m
  [2580/27940] checked 11,228,800  4,667/s  elapsed 40.1m
  [2600/27940] checked 11,251,504  4,676/s  elapsed 40.1m
  [2620/27940] checked 11,270,496  4,684/s  elapsed 40.1m
  [2640/27940] checked 11,289,488  4,692/s  elapsed 40.1m
  [2660/27940] checked 11,308,480  4,697/s  elapsed 40.1m
  [2680/27940] checked 11,327,472  4,691/s  elapsed 40.2m
  [2700/27940] checked 11,366,332  4,684/s  elapsed 40.4m
  [2720/27940] checked 11,390,892  4,694/s  elapsed 40.4m
  [2740/27940] checked 11,409,884  4,700/s  elapsed 40.5m
  [2760/27940] checked 11,428,876  4,707/s  elapsed 40.5m
  [2780/27940] checked 11,447,868  4,702/s  elapsed 40.6m
  [2800/27940] checked 11,466,860  4,702/s  elapsed 40.6m
  [2820/27940] checked 11,503,864  4,667/s  elapsed 41.1m
  [2840/27940] checked 11,530,280  4,678/s  elapsed 41.1m
  [2860/27940] checked 11,549,272  4,685/s  elapsed 41.1m
  [2880/27940] checked 11,568,264  4,693/s  elapsed 41.1m
  [2900/27940] checked 11,587,256  4,701/s  elapsed 41.1m
  [2920/27940] checked 11,606,248  4,700/s  elapsed 41.2m
  [2940/27940] checked 11,641,396  4,679/s  elapsed 41.5m
  [2960/27940] checked 11,669,668  4,691/s  elapsed 41.5m
  [2980/27940] checked 11,688,660  4,698/s  elapsed 41.5m
  [3000/27940] checked 11,707,652  4,704/s  elapsed 41.5m
  [3020/27940] checked 11,726,644  4,696/s  elapsed 41.6m
  [3040/27940] checked 11,745,636  4,694/s  elapsed 41.7m
  [3060/27940] checked 11,778,928  4,667/s  elapsed 42.1m
  [3080/27940] checked 11,809,056  4,679/s  elapsed 42.1m
  [3100/27940] checked 11,828,048  4,687/s  elapsed 42.1m
  [3120/27940] checked 11,847,040  4,694/s  elapsed 42.1m
  [3140/27940] checked 11,866,032  4,700/s  elapsed 42.1m
  [3160/27940] checked 11,885,024  4,701/s  elapsed 42.1m
  [3180/27940] checked 11,916,460  4,683/s  elapsed 42.4m
  [3200/27940] checked 11,948,444  4,695/s  elapsed 42.4m
  [3220/27940] checked 11,967,436  4,703/s  elapsed 42.4m
  [3240/27940] checked 11,986,428  4,708/s  elapsed 42.4m
  [3260/27940] checked 12,005,420  4,711/s  elapsed 42.5m
  [3280/27940] checked 12,024,412  4,708/s  elapsed 42.6m
  [3300/27940] checked 12,053,992  4,682/s  elapsed 42.9m
  [3320/27940] checked 12,087,832  4,695/s  elapsed 42.9m
  [3340/27940] checked 12,106,824  4,701/s  elapsed 42.9m
  [3360/27940] checked 12,125,816  4,702/s  elapsed 43.0m
  [3380/27940] checked 12,144,808  4,699/s  elapsed 43.1m
  [3400/27940] checked 12,163,800  4,697/s  elapsed 43.2m
  [3420/27940] checked 12,191,524  4,672/s  elapsed 43.5m
